,Emotion,Mean SC,Path,Speaker ID,Speaker-Standardized Mean SC
0,Angry,1705.02817479979,03b02Wb.wav,03,0.23877086859917676
1,Angry,1805.778052542262,03a01Wa.wav,03,0.5397572070615414
2,Angry,2022.9786717887007,03a05Wa.wav,03,1.1886356033792826
3,Angry,2169.941845887262,03a07Wc.wav,03,1.6276823660344173
4,Angry,1871.7125147381978,03a05Wb.wav,03,0.7367338466319328
5,Angry,2207.69177343045,03a02Wb.wav,03,1.7404588053020351
6,Angry,2036.267843312904,03b01Wa.wav,03,1.2283364860790351
7,Angry,1798.1238428189513,03a02Wc.wav,03,0.5168905534232003
8,Angry,1772.9251529901353,03b03Wc.wav,03,0.44161044831963997
9,Angry,2021.0272750861293,03b01Wc.wav,03,1.1828058816808027
10,Angry,1975.171257874375,03a04Wc.wav,03,1.0458128150260457
11,Angry,1844.393880803406,03b09Wa.wav,03,0.6551204910222677
12,Angry,1700.8729253478296,03b10Wb.wav,03,0.22635722258820937
13,Angry,1908.8282682267702,03b10Wc.wav,03,0.8476157155941197
14,Sad,1825.5272039002043,03b09Tc.wav,03,-1.7569221245449658
15,Sad,1885.333058391744,03a04Ta.wav,03,-1.1068449720119007
16,Sad,1724.7454573498853,03b01Td.wav,03,-1.0131368245385766
17,Sad,1711.5028193861351,03a02Ta.wav,03,-0.18408873041754972
18,Sad,2148.028370995722,03b03Tc.wav,03,-2.0661556180558183
19,Sad,1421.210576900068,03a05Tc.wav,03,-0.40295635863207807
20,Sad,2003.4982068278553,03b02Tb.wav,03,-1.5123750111300036
21,Happy,1143.1581802255846,03a01Fa.wav,03,-0.5634972535071774
22,Happy,1783.7787695533796,03a05Fc.wav,03,0.635160976768285
23,Happy,1577.0522676862472,03a07Fa.wav,03,1.028148913444889
24,Happy,1504.295191842446,03a07Fb.wav,03,1.6917999058883366
25,Happy,1700.689662105973,03a04Fd.wav,03,-0.5430987933183007
26,Happy,1874.8465139540826,03a02Fc.wav,03,0.33112498805040996
27,Happy,1629.4629643681026,03b01Fa.wav,03,0.7733233645567106
28,Bored,1673.4868005829694,03b09La.wav,03,-1.470381606236827
29,Bored,1932.904036591868,03b01Lb.wav,03,-0.3075804365981829
30,Bored,1569.5911004304216,03a04Lc.wav,03,-1.30297378639777
31,Bored,1972.2719937743414,03b02La.wav,03,-0.5007943448014882
32,Bored,2049.784770332537,03a07La.wav,03,-0.07829923340784255
33,Afraid,2050.8262130682806,03b10Ab.wav,03,0.0912263691370525
34,Afraid,1749.5201465566474,03a04Ad.wav,03,1.2539223265658328
35,Afraid,1850.9137346454875,03a05Aa.wav,03,1.4470556407070483
36,Afraid,1397.2527501308525,03b02Aa.wav,03,1.4491972265418493
37,Neutral,1888.9970439176325,03a05Nd.wav,03,-0.17520880907109
38,Neutral,1782.7130467884317,03a01Nc.wav,03,-1.663446098932043
39,Neutral,1455.3107519223254,03b02Na.wav,03,-0.4991641099104537
40,Neutral,1402.555490279052,03a07Nc.wav,03,-0.5237758984687877
41,Neutral,2456.2462761812276,03b01Nb.wav,03,-0.2847648375766206
42,Neutral,1982.606225743375,03a02Nc.wav,03,-1.0988618703189594
43,Neutral,2121.1510113275726,03b03Nb.wav,03,-0.6809860259581397
44,Neutral,1150.913012127749,03a04Nc.wav,03,-0.9072529438138465
45,Neutral,1429.2228837296784,03b10Nc.wav,03,-0.7957720697350195
46,Neutral,1906.0411587679191,03b09Nc.wav,03,-0.7264085691274671
47,Neutral,2043.2250276641737,03b10Na.wav,03,-0.7598418477851347
48,Disgust,2064.393052505908,03b10Ec.wav,03,0.00704015189389064
49,Angry,1388.395997564324,08a01Wa.wav,08,0.9910949854073772
50,Angry,1428.9125838292791,08a01Wc.wav,08,1.1861927699293975
51,Angry,1583.817098367193,08b02Wd.wav,08,0.6623262446311968
52,Angry,1444.506474532478,08a07Wc.wav,08,0.6191263045932137
53,Angry,1318.905873499375,08a05Wa.wav,08,2.0431535796876754
54,Angry,1281.3666742476605,08a02Wc.wav,08,-0.32786080652602523
55,Angry,1793.0238572467604,08b01Wa.wav,08,1.571669390297094
56,Angry,1608.4093189162095,08b03Wd.wav,08,-1.2349192715113153
57,Angry,1607.8530727385269,08a04Wc.wav,08,0.854903852991056
58,Angry,1706.2106123150409,08b09Wc.wav,08,0.18052367969263367
59,Angry,1423.0887132618943,08b10Wa.wav,08,-0.056823389856121426
60,Angry,2117.9167406832626,08b09Wa.wav,08,0.5838517809369014
61,Sad,1749.4241694101622,08b09Tb.wav,08,-1.8655900053678154
